timestamps,TP9,AF7,AF8,TP10
1641303833.449,68.848,-41.016,-26.367,-69.824
1641303833.452,61.523,-32.715,-28.320,-75.684
1641303833.456,-70.801,-29.785,-20.996,-5.371
1641303833.460,-147.461,-31.738,-19.531,32.227
1641303833.464,-53.711,-36.133,-28.809,-9.766
1641303833.468,89.844,-40.527,-33.203,-71.777
1641303833.467,95.703,-37.598,-37.109,-66.895
1641303833.471,-42.969,-37.109,-30.762,-3.418
1641303833.475,-129.883,-39.062,-22.949,30.273
1641303833.479,-59.082,-42.969,-26.367,-0.977
1641303833.483,83.008,-45.898,-25.391,-62.988
1641303833.487,110.352,-43.457,-22.461,-64.453
1641303833.491,-23.926,-44.922,-34.668,13.184
1641303833.494,-124.512,-42.969,-30.762,47.363
1641303833.498,-62.500,-39.062,-14.648,11.230
1641303833.502,81.543,-38.086,-20.508,-48.828
1641303833.506,137.207,-29.297,-23.926,-65.918
1641303833.510,24.902,-27.344,-15.625,-6.836
1641303833.529,-102.539,-27.832,-4.395,35.645
1641303833.533,-67.383,-26.367,-5.371,20.508
1641303833.537,76.660,-29.297,-18.066,-44.922
1641303833.541,134.277,-32.227,-30.273,-88.379
1641303833.545,37.598,-36.133,-20.020,-20.996
1641303833.549,-97.168,-41.992,-10.742,51.758
1641303833.553,-96.191,-34.668,-16.113,32.227
1641303833.556,40.039,-27.832,-18.066,-37.598
1641303833.560,122.070,-34.180,-19.531,-69.336
1641303833.564,27.344,-39.551,-25.391,-13.184
1641303833.568,-107.422,-28.320,-16.602,37.598
1641303833.572,-113.281,-25.391,-4.883,34.668
1641303833.573,17.578,-33.203,-15.137,-21.973
1641303833.577,119.141,-29.297,-18.066,-76.660
1641303833.581,47.852,-23.438,-14.648,-40.039
1641303833.585,-102.051,-28.320,-15.137,29.297
1641303833.589,-127.441,-32.227,-19.531,40.527
1641303833.593,26.367,-33.691,-31.738,1.953
1641303833.597,151.855,-31.738,-36.621,-46.387
1641303833.600,62.988,-37.109,-21.484,-60.059
1641303833.604,-109.863,-42.480,-8.301,-3.418
1641303833.608,-186.523,-54.688,-9.277,20.996
1641303833.612,-80.078,-52.246,-7.812,-43.457
1641303833.616,50.781,-45.410,-8.301,-124.023
1641303833.627,-16.602,-58.105,-17.090,-139.648
1641303833.631,-182.129,-61.035,-13.184,-89.355
1641303833.635,-252.441,-56.641,-4.883,-70.801
1641303833.639,-156.738,-62.988,-4.395,-106.934
1641303833.643,-26.367,-68.359,-0.977,-170.410
1641303833.647,-35.156,-69.336,-2.930,-164.551
1641303833.651,-165.039,-71.289,-7.324,-87.402
1641303833.654,-236.328,-63.965,-8.301,-42.969
1641303833.658,-157.227,-62.988,-19.531,-46.387
1641303833.662,2.930,-60.547,-19.531,-105.469
1641303833.666,31.738,-57.129,-23.926,-124.512
1641303833.670,-96.191,-57.129,-26.367,-42.480
1641303833.664,-185.059,-58.105,-10.254,10.254
1641303833.668,-125.488,-54.199,-3.418,-24.414
1641303833.672,20.020,-50.781,-14.648,-83.496
1641303833.676,54.199,-54.688,-17.090,-97.168
1641303833.680,-63.965,-56.641,-17.090,-42.969
1641303833.684,-166.504,-55.176,-17.090,14.160
1641303833.688,-113.281,-53.223,-11.719,0.977
1641303833.691,31.738,-57.129,-18.555,-59.082
1641303833.695,88.379,-61.523,-25.879,-79.590
1641303833.699,-4.395,-45.410,-7.324,-26.367
1641303833.703,-130.371,-34.668,-7.324,28.809
1641303833.707,-113.281,-38.086,-22.949,23.438
1641303833.708,23.438,-39.062,-23.438,-44.434
1641303833.712,98.145,-40.527,-24.414,-89.844
1641303833.716,16.602,-41.992,-28.809,-31.738
1641303833.720,-120.117,-39.551,-21.973,33.203
1641303833.724,-126.953,-31.738,-14.648,29.297
1641303833.728,12.695,-31.250,-17.090,-15.625
1641303833.732,107.422,-41.016,-26.855,-59.570
1641303833.735,32.227,-49.316,-39.551,-16.602
1641303833.739,-99.609,-40.039,-26.367,43.945
1641303833.743,-122.559,-37.109,-19.043,51.270
1641303833.747,-7.812,-41.992,-22.461,0.488
1641303833.751,96.191,-47.852,-29.785,-64.941
1641303833.752,55.176,-44.434,-24.414,-45.898
1641303833.756,-82.520,-37.109,-7.324,15.137
1641303833.760,-131.836,-43.945,-14.160,29.297
1641303833.764,-20.996,-43.457,-26.855,-21.484
1641303833.768,108.398,-36.621,-27.832,-83.496
1641303833.772,78.613,-29.297,-24.902,-65.918
1641303833.776,-79.102,-41.992,-28.320,5.371
1641303833.779,-129.395,-56.152,-33.203,64.453
1641303833.783,-22.461,-37.109,-18.555,12.207
1641303833.787,66.406,-23.926,-23.926,-109.375
1641303833.791,45.898,-36.133,-37.598,-108.887
1641303833.795,-77.148,-32.227,-34.180,-31.738
